latitude,longitude,altitude_meters,bearing_degrees
13.0843,80.27046,28.09556198120117,293.29352044786435
13.08456,80.26984,28.81033515930176,297.1727129819808
13.08469,80.26958,28.95852661132812,270.00000905514963
13.08469,80.2695,28.75529861450195,297.17269516464273
13.08471,80.26946,28.69458770751953,292.3261123894308
13.08473,80.26941,28.6233081817627,282.8518298851011
13.08475,80.26932,28.5457592010498,286.34802525038145
13.08479,80.26918,28.5098819732666,282.32205151604256
13.08489,80.26871,29.35537147521973,273.0929652605355
13.0849,80.26852,29.88570404052734,276.5077778336711
13.08491,80.26843,30.09391403198242,270.00000905632703
13.08491,80.26835,30.29231834411621,270.00001471607044
13.08491,80.26822,29.9853343963623,275.8617825931523
13.08492,80.26812,29.66825103759766,270.0000124516928
13.08492,80.26801,29.24904823303223,270.00001018809223
13.08492,80.26792,28.73906898498535,284.395052107329
13.08494,80.26784,28.26564407348633,280.5734351271204
13.08496,80.26773,28.14900970458984,281.06479064380915
13.085,80.26752,28.27850341796875,285.45123595109555
13.08507,80.26726,28.75996589660645,289.7649107490381
13.08514,80.26706,28.6086368560791,285.6421396261979
13.0852,80.26684,28.26631546020508,279.7098385415585
13.08522,80.26672,28.19382286071777,279.7098323307782
13.08523,80.26666,28.19427108764648,276.6920894605498
13.08527,80.26631,29.35167503356934,277.3129435278812
13.08529,80.26615,30.8537425994873,280.2691874096249
13.08532,80.26598,31.89285850524902,277.79468038854384
13.08536,80.26568,32.46728134155273,276.16804260096154
13.08542,80.26511,29.05768585205078,281.6033707430066
13.08543,80.26506,28.72742080688477,274.75852069370524
13.08546,80.26469,27.88930511474609,277.6272442742587
13.08549,80.26446,28.88961982727051,274.3489355172966
13.08551,80.26419,30.88278198242188,273.20525447509795
13.08554,80.26364,32.37899398803711,273.8641670707319
13.08559,80.26288,32.71586227416992,0.0
13.08559,80.26288,32.71586227416992,189.91661124344506
13.0852,80.26281,32.52429580688477,192.06884874535518
13.08479,80.26272,30.87726020812988,192.4043536252818
13.08448,80.26265,30.43008613586426,189.22094082876535
13.08418,80.2626,30.2630615234375,193.23070359043587
13.0836,80.26246,28.44683837890625,191.67389867994274
13.08327,80.26239,28.22454833984375,191.02364073269763
13.08312,80.26236,28.82143402099609,192.21348881609472
13.08294,80.26232,29.76147842407227,186.94191021972335
13.0827,80.26229,30.42390441894531,195.55180367796544
13.08263,80.26227,30.41639709472656,186.17692085767783
13.08254,80.26226,30.2271900177002,189.2210076728226
13.08236,80.26223,29.83663558959961,167.78647909570975
13.08227,80.26225,29.58816719055176,159.93439939737573
13.08219,80.26228,29.4228572845459,167.3316118261414
13.08206,80.26231,29.52235794067383,163.71088826595303
13.08196,80.26234,29.66971015930176,163.31615742915164
13.08183,80.26238,29.7200984954834,162.61533151466222
13.08155,80.26247,30.09431838989258,158.71313021347873
13.08145,80.26251,30.27923202514648,167.78643537262326
13.08136,80.26253,30.15076637268066,162.01224979460494
13.08127,80.26256,30.03254699707031,163.71083883089568
13.08117,80.26259,29.78238868713379,168.9762699015207
13.08107,80.26261,29.35785484313965,165.4393603105991
13.08092,80.26265,28.44284629821777,173.05803795187376
13.08084,80.26266,27.88998031616211,167.7864060582358
13.08075,80.26268,27.24969291687012,172.07813935033823
13.08061,80.2627,26.05444717407227,166.71387548565644
13.08028,80.26278,23.86846351623535,0.0
13.08028,80.26278,23.86846351623535,173.82302073588266
13.08019,80.26279,23.66324996948242,255.6052366096836
13.08016,80.26267,23.82381248474121,258.3969054184706
13.08011,80.26242,25.04402923583984,262.03064610103405
13.08008,80.2622,26.22259140014648,254.88150494048207
13.08003,80.26201,26.80471992492676,251.10844629427046
13.08,80.26192,27.37057495117188,262.6872386941992
13.07999,80.26184,27.87332153320312,247.6742859839334
13.07997,80.26179,28.22929763793945,246.25114720217675
13.07994,80.26172,28.71226119995117,252.4693178208385
13.0799,80.26159,29.55803871154785,246.84047922183055
13.07985,80.26147,30.36418914794922,244.0663249435315
13.07976,80.26128,30.72331237792969,249.5283126294451
13.07972,80.26117,30.41441917419434,253.65231610425434
13.0797,80.2611,30.25883102416992,249.5283171969813
13.07966,80.26099,29.9615535736084,255.00705567028632
13.0796,80.26076,28.66374015808105,257.8040784714411
13.07956,80.26057,27.17959403991699,259.73108586684594
13.07953,80.2604,26.78940582275391,259.8148896641527
13.07946,80.26,29.10811996459961,262.8637908319511
